Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	3.1875	4.041666666666667	0.0
ALL	Prior_art	8.552380952380954	11.82857142857143	0.0
ALL	Project_planning	6.5	2.1666666666666665	0.0
ALL	Display_device	1.4	1.4	0.0
ALL	Advanced_Design_System	1.3333333333333335	1.7777777777777777	0.0
ALL	Global_Positioning_System	15.533333333333335	9.444444444444445	0.0
ALL	Designer	1.2000000000000002	2.8	0.0
ALL	Internship	6.0	3.0	0.0
ALL	Arduino	3.8	3.8	1.0
ALL	Computer_program	4.5	2.1666666666666665	1.0
ALL	Chartered_Institute_of_Personnel_and_Development	3.5	1.1666666666666665	0.0
ALL	Pulse-width_modulation	1.0	1.0	1.0
ALL	Central_Asia	1.1428571428571426	4.571428571428572	0.0
ALL	Translation	5.571428571428571	10.380952380952381	0.0
ALL	Sound	1.0	1.0	1.0
ALL	Heater	1.0	1.0	1.0
ALL	Analysis	3.5555555555555562	10.222222222222221	0.0
ALL	Mixed_media	3.111111111111111	1.037037037037037	0.0
ALL	Project	76.63194444444444	46.15277777777778	0.0
ALL	Exploration	9.37797619047619	10.232142857142858	0.0
ALL	Visual_system	5.6	5.6	0.0
ALL	Usability	9.6875	6.208333333333333	0.0
ALL	New_product_development	1.2000000000000002	2.8	0.0
ALL	Registered_nurse	3.5	1.1666666666666665	0.0
ALL	Selection	1.1428571428571426	11.238095238095239	0.0
ALL	Wire	1.0	3.0	2.0
ALL	Product_design	49.65972222222222	37.625	0.0
ALL	Weighting	1.4	1.4	0.0
ALL	Planning	13.783333333333335	10.027777777777779	0.0
ALL	COBOL	5.857142857142858	5.857142857142858	3.0
ALL	Usability_testing	1.0	1.0	1.0
ALL	Software_design	1.2000000000000002	2.8	0.0
ALL	Case_study	1.2000000000000002	2.8	0.0
ALL	Ropes_course	10.666666666666666	3.5555555555555554	0.0
ALL	Olympic_Games	0.0	2.0	1.0
ALL	Video_game	0.0	6.666666666666667	0.0
ALL	Mass_media	8.761904761904763	5.142857142857142	0.0
ALL	User_experience	2.1875	2.041666666666667	0.0
ALL	Set_theory	2.1875	2.041666666666667	0.0
ALL	Petra	2.0	2.0	0.0
ALL	Pencil	3.111111111111111	1.037037037037037	0.0
ALL	Evaluation	5.571428571428571	3.7142857142857144	0.0
ALL	Material	1.0	1.0	1.0
ALL	Heat	0.0	2.0	1.0
ALL	Analog-to-digital_converter	1.4	1.4	0.0
ALL	Report	8.533333333333335	7.111111111111112	0.0
ALL	Aviation	2.0	1.0	0.0
ALL	Digital_terrestrial_television	1.0	2.0	0.0
ALL	Packaging_and_labeling	1.0	2.0	0.0
ALL	Interaction	24.17797619047619	20.36547619047619	3.0
ALL	Observation	0.9333333333333333	1.8666666666666665	0.0
ALL	Industrial_production	1.0	2.0	0.0
ALL	Differential_equation	2.857142857142857	2.857142857142857	0.0
ALL	Florida	2.0	1.0	0.0
ALL	Corel_Painter	1.0	1.0	0.0
ALL	Karma	1.0	1.0	1.0
ALL	Drawing	4.407407407407408	4.839506172839506	0.0
ALL	Emotion	2.0	1.0	0.0
ALL	Concept	20.313690476190477	25.907539682539685	0.0
ALL	Image	0.0	5.6	0.0
ALL	Structuring	1.2000000000000002	2.8	0.0
ALL	Computer	2.3333333333333335	3.111111111111111	0.0
ALL	Design	64.1700396825397	89.26230158730161	1.0
ALL	Technology	3.1875	4.041666666666667	0.0
ALL	Microcontroller	1.4	1.4	0.0
ALL	Humanities	12.144761904761907	9.782857142857143	0.0
ALL	Dimensional_analysis	0.0	6.666666666666667	0.0
ALL	Writing	2.7333333333333334	10.733333333333334	0.0
ALL	Active_learning	1.4	8.4	0.0
ALL	Human_behavior	0.0	5.714285714285714	0.0
ALL	Microprocessor	1.4	1.4	0.0
ALL	Anthropometry	0.0	3.0	0.0
ALL	Professional_sports	3.5	1.1666666666666665	0.0
ALL	Meeting	6.5	2.1666666666666665	0.0
ALL	Website	2.0	2.0	0.0
ALL	International_student	3.5	1.1666666666666665	0.0
ALL	Perception	2.8	2.8	0.0
ALL	Industrial_design	2.0	4.0	1.0
ALL	Applied_research	2.0	2.0	0.0
ALL	Problem_solving	1.2000000000000002	2.8	0.0
ALL	Virtual_reality	1.3333333333333335	1.7777777777777777	0.0
ALL	Dutch_language	17.5	29.166666666666664	0.0
ALL	Weather	1.0	1.0	1.0
ALL	Aesthetics	0.0	5.6	0.0
ALL	Mentorship	2.0	1.0	0.0
ALL	Study_skills	1.3333333333333335	2.6666666666666665	0.0
ALL	Feedback	1.0	1.0	1.0
