Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Acceleration	7.885714285714286	10.514285714285712	0.0
ALL	Autonomy	1.0	1.0	1.0
ALL	Prior_art	2.8	5.2	0.0
ALL	Cycling	1.0	1.0	1.0
ALL	Project_planning	10.0	3.333333333333333	0.0
ALL	Lead	1.666666666666667	3.333333333333333	0.0
ALL	Author	2.3333333333333335	2.3333333333333335	0.0
ALL	Gourmet	5.111111111111111	1.7037037037037035	0.0
ALL	Pressure_sensor	0.6666666666666667	3.333333333333333	2.0
ALL	Teamwork	2.4393939393939394	5.727272727272727	0.0
ALL	Index_(boek)	2.3	2.3	0.0
ALL	Interior_design	0.0	2.0	1.0
ALL	Confectionery	0.0	2.0	1.0
ALL	Search_and_seizure	0.0	8.0	0.0
ALL	Aerobics	1.0	1.0	1.0
ALL	Innovation	8.472222222222221	16.305555555555557	0.0
ALL	Peer-to-peer	0.0	5.75	0.0
ALL	Bird	1.0	1.0	1.0
ALL	Electricity	6.708333333333334	6.069444444444445	0.0
ALL	Background_artist	0.0	7.666666666666667	0.0
ALL	Corporation	10.0	3.333333333333333	0.0
ALL	Designer	1.0	2.0	0.0
ALL	Opportunity_cost	2.0	2.0	0.0
ALL	Business	0.0	8.0	0.0
ALL	Automotive_industry	2.0	1.0	0.0
ALL	Correlation_and_dependence	0.0	3.5	0.0
ALL	Philosophy	2.5555555555555554	2.5555555555555554	0.0
ALL	YouTube	6.571428571428571	2.1904761904761902	0.0
ALL	Heat	2.1904761904761907	2.92063492063492	0.0
ALL	Computer_program	10.333333333333334	12.38888888888889	4.0
ALL	SPSS	0.9999999999999998	7.5	0.0
ALL	Graduate_school	5.6	1.8666666666666665	0.0
ALL	Faculty_(division)	3.2199999999999998	5.9799999999999995	0.0
ALL	20e_eeuw	2.3	2.3	0.0
ALL	Physical_exercise	2.0	2.0	2.0
ALL	Instruction_set	1.0	1.0	1.0
ALL	Translation	0.0	4.0	0.0
ALL	Mass_production	7.666666666666666	4.259259259259259	0.0
ALL	Film_editing	8.518518518518519	4.54320987654321	0.0
ALL	Sound	0.0	2.0	1.0
ALL	Programming_language	3.833333333333334	3.1944444444444446	0.0
ALL	Conducting	3.4666666666666672	2.8888888888888893	0.0
ALL	Design_of_experiments	0.0	3.5	0.0
ALL	Cognition	8.11111111111111	8.25925925925926	2.0
ALL	Stretching	1.0	1.0	1.0
ALL	Iteration	1.5	2.5	2.0
ALL	Bookselling	2.3333333333333335	2.3333333333333335	0.0
ALL	Analysis	7.746666666666667	11.546666666666667	0.0
ALL	Simulation	9.583333333333334	8.944444444444445	0.0
ALL	Project	42.30619047619048	32.026825396825394	1.0
ALL	Dinner	2.0	0.6666666666666666	1.0
ALL	Exploration	5.333333333333334	5.333333333333334	0.0
ALL	Visual_system	6.666666666666667	6.666666666666667	0.0
ALL	Threat	0.6666666666666667	1.3333333333333333	1.0
ALL	Mechanical_engineering	7.155555555555555	22.488888888888887	0.0
ALL	Organization	2.3	2.3	0.0
ALL	Modernism	10.0	3.333333333333333	0.0
ALL	Feedback	1.0	1.0	1.0
ALL	Mechanics	21.98325396825397	20.226005291005286	0.0
ALL	New_product_development	32.9484126984127	23.06216931216931	0.0
ALL	Market_share	0.7999999999999998	3.2	0.0
ALL	Laptop	0.6666666666666667	1.3333333333333333	1.0
ALL	Abseiling	13.333333333333334	13.333333333333334	0.0
ALL	Integral	5.111111111111111	1.7037037037037035	0.0
ALL	Telephone	3.2222222222222223	5.888888888888888	2.0
ALL	Competition	1.5555555555555556	1.5555555555555556	0.0
ALL	Focus_group	2.666666666666667	4.333333333333333	1.0
ALL	Clinic	2.0	2.0	2.0
ALL	Planning	0.0	4.0	2.0
ALL	COBOL	13.557777777777776	18.135555555555555	2.0
ALL	Business_process_management	3.833333333333334	3.1944444444444446	0.0
ALL	Health	1.0	1.0	1.0
ALL	Sport	5.0	3.0	1.0
ALL	Debate	1.3333333333333335	1.1111111111111112	1.0
ALL	Mathematical_analysis	15.041269841269841	33.0031746031746	0.0
ALL	Industrial_design	12.635555555555555	9.102222222222222	1.0
ALL	Wealth	1.5555555555555556	1.5555555555555556	0.0
ALL	Implementation	6.333333333333334	4.111111111111111	1.0
ALL	Program_management	0.7999999999999998	3.2	0.0
ALL	Thermodynamics	2.1904761904761907	2.92063492063492	0.0
ALL	Interaction	29.104761904761904	23.993650793650794	5.0
ALL	Social_class	0.5	6.5	1.0
ALL	Formula	2.0	1.0	1.0
ALL	Autodidacticism	8.915555555555555	14.848888888888888	0.0
ALL	Research_and_development	1.5555555555555556	1.5555555555555556	0.0
ALL	Petra	2.3333333333333335	2.3333333333333335	0.0
ALL	User_interface_design	3.8333333333333335	3.8333333333333335	0.0
ALL	Power_(physics)	7.885714285714286	10.514285714285712	0.0
ALL	Prototype	6.033333333333333	6.033333333333333	2.0
ALL	Background_music	0.0	4.0	0.0
ALL	Tool	2.586666666666667	7.013333333333333	0.0
ALL	Curriculum	2.1904761904761907	2.92063492063492	0.0
ALL	Department_store	1.5555555555555556	1.5555555555555556	0.0
ALL	Game	8.333333333333334	8.777777777777779	8.0
ALL	Construction	3.0	3.6666666666666665	3.0
ALL	Analysis_of_variance	0.0	3.5	0.0
ALL	Report	7.6	2.533333333333333	0.0
ALL	Information_and_communication_technologies_in_education	3.833333333333334	3.1944444444444446	0.0
ALL	Portable_Document_Format	5.0	5.0	0.0
ALL	Marketing_mix	7.416666666666667	12.916666666666666	0.0
ALL	Photograph	0.0	2.0	1.0
ALL	Workload	3.1111111111111116	2.592592592592593	0.0
ALL	Text_messaging	0.0	2.0	1.0
ALL	Developmental_psychology	5.0	5.0	0.0
ALL	Differential_equation	5.962962962962963	5.395061728395062	0.0
ALL	Documentation	0.0	2.0	1.0
ALL	Metal	2.5555555555555554	2.5555555555555554	0.0
ALL	Computer_programming	0.0	2.0	1.0
ALL	Systems_engineering_process	1.0	2.0	0.0
ALL	Systems_analysis	3.833333333333334	3.1944444444444446	0.0
ALL	Academic_conference	3.4074074074074074	2.839506172839506	0.0
ALL	Emotion	1.0	1.0	1.0
ALL	Motivation	4.3	4.3	2.0
ALL	Selection	0.0	4.0	0.0
ALL	Combat	3.1111111111111116	2.592592592592593	0.0
ALL	Chemical_kinetics	7.885714285714286	10.514285714285712	0.0
ALL	Image	0.0	4.666666666666667	0.0
ALL	Product_management	2.5	2.5	0.0
ALL	Small_Press_Distribution	10.0	3.333333333333333	0.0
ALL	Public_housing	1.75	1.75	0.0
ALL	Paper	6.916666666666667	4.25	0.0
ALL	Design	91.57574314574313	88.31097643097645	12.0
ALL	Injection_molding	2.5555555555555554	2.5555555555555554	0.0
